Participant,Timestamp,Happy_Low_M1,Happy_Low_M2,Happy_High_M1,Happy_High_M2,Angry_Low_M1,Angry_Low_M2,Angry_High_M1,Angry_High_M2
P10,0.3265,0.6553586249,0.8430720711,0.7548630038,0.9189958551,0.7921653284,0.7039324658,0.6838196065,0.8542274676
P10,0.327,0.7052289843,0.8644284987,0.9649680757,0.9209906934,0.841088719,0.8003127016,0.775704152,0.8155398625
P10,0.3275,0.7739361966,0.8307623026,0.9300227749,0.8828979861,0.8519904008,0.7964290696,0.7751154801,0.8163661185
P10,0.328,0.7872413865,0.7936843079,0.789768976,0.8722984323,0.8203474934,0.7634868161,0.8330762494,0.8362846121
P10,0.3285,0.7766230221,0.8128051098,0.6726611661,0.8125243002,0.81572403,0.7406549366,0.8372092417,0.8016280486
P10,0.329,0.8072938435,0.7963321501,0.7743812341,0.7855998562,0.8826933837,0.8035781888,0.863443053,0.7915861581
P10,0.3295,0.7393522477,0.7869630328,0.8642891672,0.85560461,0.7986330317,0.8325512217,0.9780593477,0.7566546743
P10,0.33,0.7596403127,0.8155335371,0.8281797558,0.8616446363,0.8116121244,0.7900317173,0.9205655263,0.7559595553
P10,0.3305,0.8054048741,0.893770297,0.821194551,0.879210376,0.776727221,0.84060036,0.8368907689,0.7790326433
P10,0.331,0.8196507756,0.9001416275,0.8786664595,0.9052103146,0.7503500545,0.894868977,0.8295677598,0.8394079114
P10,0.3315,0.8221891031,0.7947430327,0.8938675829,0.9034187923,0.8785541261,0.860039217,0.8634170277,0.8668331062
P10,0.332,0.7617526554,0.6876873482,0.8226560937,0.8450756349,0.9132559016,0.7942692277,0.9573933878,0.7998891854
P10,0.3325,0.700230079,0.665990903,0.8483583369,0.8634944132,0.8584401149,0.7967970982,0.9424150302,0.7359677572
P10,0.333,0.7050529746,0.6424313061,0.8045743987,0.8834372188,0.7814158329,0.8144540343,0.8339679612,0.7324967502
P10,0.3335,0.7185952717,0.6623387308,0.7725206539,0.9143001061,0.7565139663,0.8655879131,0.8574581762,0.6864283752
P10,0.334,0.6586132461,0.6709970048,0.8058843595,0.9177744018,0.7640613671,0.9158873919,0.9203423441,0.6905587258
P10,0.3345,0.6631178834,0.6716645683,0.8850571144,0.8253289877,0.7779936221,0.9319791197,0.8099540104,0.7403862564
P10,0.335,0.7042069431,0.6951594398,0.8920543184,0.7360178667,0.7239381904,0.9877010184,0.682246951,0.730373923
P10,0.3355,0.8136245725,0.7360253542,0.9285930865,0.7772154582,0.7403749446,0.995328936,0.7583284846,0.6758413598
P10,0.336,0.8162296101,0.7095997328,0.8539593268,0.7882517712,0.7180966341,0.9385794134,0.7579224967,0.6995768944
